Eye Direction,Emotion,Gesture
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,happy,No Hand Detected,None
Looking Up ⬆️,happy,No Hand Detected,None
Looking Up ⬆️,happy,No Hand Detected,None
Looking Up ⬆️,happy,No Hand Detected,None
Looking Up ⬆️,happy,No Hand Detected,None
Looking Up ⬆️,happy,No Hand Detected,None
Looking Up ⬆️,happy,No Hand Detected,None
Looking Up ⬆️,happy,No Hand Detected,None
Looking Up ⬆️,happy,No Hand Detected,None
Looking Up ⬆️,happy,No Hand Detected,None
Looking Up ⬆️,happy,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
Looking Up ⬆️,neutral,No Hand Detected,None
